ID,fromVal,toVal
10,4.54213138911289,9.45278102359488
18,6.01051654979949,9.9250591811173
10,6.86564456451295,7.47810756892276
16,0.258369160015394,4.8909500675389
2,2.29261270235419,5.02760147275023
48,1.08352123532514,7.93913321933358
45,0.159224926527565,1.37331244672268
22,0.350054124966308,2.31134850782218
22,3.62011811609028,9.66752251784855
11,0.0514368008928978,6.99180459063224
21,2.08287058242313,7.89167442166767
12,2.4265137847921,6.09061249329891
43,2.28460526332031,7.50478414409249
10,7.31752034511476,7.78084441547051
16,3.80098111473742,4.79463734106785
30,8.23651507857691,8.57693867524128
36,1.25877641789846,4.06612009247088
35,6.81828926537282,8.04605556114568
38,4.61360474046982,8.89135601480588
31,1.12246574722439,5.47456273421074
33,3.54271085903611,5.60748592765943
44,6.32875690302258,7.9889092498872
17,1.17166774142702,6.51723172030008
18,8.2288209072466,9.4785477605794
43,7.8217401804522,7.97733173581814
38,2.43090895896432,4.42315410348702
23,1.79603757412778,8.05316923349966
49,2.87178075272107,3.05700284255047
46,1.03563329833292,4.71206582601544
4,1.39788639221168,7.3050573799763
33,0.865809173854655,9.65809565257354
3,0.508108908947591,6.98796313987808
21,8.81348436190672,9.28416218093691
40,1.81290983026804,2.16599244229201
24,1.13060542451056,9.98215189575317
38,1.04577011439729,1.71764480176914
37,4.54615575312144,8.510596928026
28,3.61108455825644,6.61917744602189
3,0.498942713362005,6.2533575070404
8,3.8355130419808,9.37330524236764
3,2.09773651121993,2.42747945949388
6,2.77393664676672,7.55058213211383
1,4.25739482796784,8.38798483496591
19,1.33857897105477,4.18826335392977
16,2.48978157735352,9.45623040156169
14,5.31116453440072,6.8731542895914
11,0.319558861867471,3.24910630041605
19,0.981367090938662,5.70960760917751
15,3.2295497531109,6.86513359324023
50,3.1267188572198,7.10487079858235
47,1.28665760703401,4.79984025571628
42,1.41505809711001,3.48843563847019
16,4.32860726344673,6.44950204946889
29,2.671808979958,5.85106629529438
15,4.1898586162145,8.60474069466718
15,1.64448551457104,1.91517126873244
25,1.24446660728029,6.63136402057435
27,5.44242367299452,9.8830814256386
49,5.58035935430835,5.59501031073275
3,2.63548222215626,4.82355980124736
6,7.52929439867104,8.69473117182772
18,0.0478571506552006,1.52499561781292
19,1.21358969329917,8.82019183985908
48,2.48862994447153,5.61357065801452
46,1.52872514153582,5.97787851787001
25,3.82773738430456,7.62682775964065
26,2.81658935050703,8.6666661294867
49,0.931410532185167,2.17097194004886
1,6.26382513948399,7.23746524868692
46,4.08436922085379,7.41376976298253
32,1.67875873645535,3.40309024938263
8,5.66765883358808,5.98382936307881
28,8.2221811944955,8.4435074119846
7,4.5289641389306,7.27316496732101
17,9.52952338545743,9.58335886028398
37,1.43456665205374,8.19941199712628
12,4.88405971616736,5.05907350588195
49,3.36431432116346,6.09499820883334
10,2.64775817034346,4.54329395266356
27,3.72673395297913,8.619032042605
29,1.29774416360349,6.39676882871154
20,2.89592706876262,5.5125055857946
43,5.79000968323471,9.02980695494064
45,0.877049126851905,4.07533300747125
39,0.0571287000273346,3.54550393116961
38,5.24166737984202,9.99563852893137
46,0.681495348954005,5.2503407676743
34,6.03230510130438,6.32865834496113
34,1.49745671872534,9.2859809625299
9,2.83194955704386,7.2661007755125
3,2.36765526195372,4.05182132622372
46,2.42785035713377,7.71660102615712
19,7.17573980865335,9.8648695017425
8,4.39447558498022,6.93811316926084
48,0.449982680755535,6.13586074702903
46,4.60832534100427,4.91972754051501
19,4.9661120224265,8.6038314733205
17,7.60741409360568,9.20902376101787
1,5.08157776342645,9.46340758501162
47,5.59508852276614,9.75286028982736
28,4.7350721724589,8.71574685331605
7,1.63472843322019,9.60668654556838
18,1.77027850666515,6.18611969736321
6,2.77192700803048,4.10144381361614
2,7.87404333936407,7.97060349788552
10,0.203634280326336,3.2162124473708
23,3.26471343000269,6.78924125302796
8,2.41517880152251,3.12745142922801
34,3.60411391708379,5.76698194522002
19,3.70931798493479,5.28944766571716
49,2.56893865967153,4.88013960896782
34,8.20763566316101,8.29693188930553
44,4.08127409745802,5.4031720321533
8,4.04460552042378,5.64749204616569
5,0.335905491487174,9.30401543933841
2,5.5671127858083,6.07166145743416
12,2.31777835896619,8.53725928932358
10,4.18131208162664,8.77746423508055
8,6.66291815446515,6.74755272075348
5,7.44697476009947,8.78496625864147
21,3.75127917294139,4.94666919709354
