ID,pointVal
23,1.68956778630381
15,6.6879462198983
36,3.99853893651257
22,6.40907348266121
13,4.01098978683441
44,3.24151330232187
18,0.293426819154318
6,3.49334844362551
16,1.98966156806538
31,5.88075324704478
14,9.81622203185711
49,3.5611222379041
39,0.60927110581027
31,3.50099441000997
34,8.32429946505965
27,9.10053738015739
43,3.26054504216856
3,1.552629267623
18,9.91654379079174
36,2.54987093020264
18,7.02894716729477
11,6.92232300394386
49,4.92915864219638
40,2.79460872076001
27,9.8999173737387
9,6.56433640559662
29,8.51311375865421
13,7.44807654050922
27,9.75718534139433
3,9.47167493286947
47,5.73175602185548
47,7.38820964306115
39,5.34685202848816
11,5.89899715728638
35,6.88197074825958
4,3.51586847472963
34,1.65423245065981
49,1.85757116201702
14,3.37834874767886
46,4.22154467019102
38,1.16485050786155
38,7.958511922331
50,4.01960660921783
41,4.45543556249837
40,8.99569012883863
40,1.41607354196465
32,7.22568688719348
21,5.35329708822115
46,1.35895607736658
44,2.59271838360998
5,9.77677075883404
43,9.15425097099287
32,6.45886891207866
23,7.3078354172081
49,5.5087846849637
1,8.66013958156385
44,9.27728055383687
6,1.83467953791125
13,0.319442410362423
12,1.13868470799266
26,4.82280033203818
38,2.84520006185623
25,8.35836342756425
46,3.13077705605633
25,2.50300121541377
9,5.71480556918024
32,7.18753985470394
46,4.29787041789692
2,1.19537715241608
38,3.43727952023706
24,0.516840440924179
36,2.21276199945301
44,2.27056321549765
22,2.28532460615711
34,5.47529022645912
16,7.7097135140107
33,1.1545230423116
28,0.584769494987183
47,8.3469614818585
19,6.32811247511545
40,9.05905148799779
13,7.15107932471897
31,3.56931096387815
36,5.10591458426029
38,4.29288189609913
38,3.88209377253864
31,1.56936296453081
42,7.66297126558599
36,8.99293780963893
37,7.00402288634137
41,9.06910469024761
5,8.69838237225317
17,3.70375907945274
38,8.73631405436479
37,4.47995928052469
44,6.34136982217115
27,3.26292946716293
12,1.17239759215798
18,5.436006659331
4,7.78909429356989
35,7.72714967487065
46,0.1317100477565
20,6.89373105332077
21,5.19687876810296
20,4.61953429677852
30,9.21213695049189
24,7.58683864138301
39,1.10694332298074
30,6.59422904564701
15,0.61989800309007
11,5.84095286657239
29,5.00887182498277
5,3.54591800203313
29,2.42770920061837
34,1.7036156583343
37,9.54187876665059
4,3.6164848364205
38,4.17203330451561
33,7.34577568428077
26,8.14381350027437
35,3.09335678987491
47,8.65751598038733
6,9.05601457555637
25,9.22941831832715
9,4.53793880361104
24,4.90713400644436
10,1.48747346675106
30,0.975771540407232
38,3.65301959200014
19,2.69988842508856
49,1.06889531654268
31,4.1321776580073
40,4.03540692242198
26,6.95370445053656
44,5.93172334354848
25,9.01896897507382
48,8.03917978435244
11,7.18339273056213
11,1.39733200749318
43,2.73260702617802
43,5.32269717793449
38,3.36409250766221
5,7.10321534431066
40,9.60754583067145
31,0.961964922123687
12,3.64391178615305
16,9.21674460398348
49,2.90505083449323
36,7.5454024573775
32,1.70859153956926
32,8.95786680398084
50,3.44390675214518
14,3.86411420459807
48,8.58940281632534
20,6.11464080350742
45,9.6520742228047
4,5.64027037050357
24,9.18688209073154
28,7.68738242400223
20,9.16476586653056
6,6.67260937379332
49,1.07516636374078
33,3.08089106628206
2,1.51914606723133
33,4.38515956208292
28,8.51275954861913
15,8.98660684144604
32,2.11767827213955
48,0.93939109855591
42,6.99703033000362
37,9.67837846580419
26,8.4225283602198
29,3.19321298949315
27,3.32106007439191
37,3.96693071523671
50,8.7043119717696
33,9.6396381300758
40,4.47856994691798
13,6.16381021843111
10,5.47876034486479
46,9.0346189354234
25,4.21728903412704
16,4.60998320453748
18,6.87025702224243
50,9.40505769654897
40,2.20457167292718
6,1.76814995544484
41,1.46579426210191
26,1.52804672812872
40,5.35145351557291
10,5.45297467323185
15,1.78388644973178
46,7.36701069323829
19,9.4565353694902
23,0.325220242421038
37,1.82111840569168
17,9.38198111075748
6,3.8300394322001
15,5.36197962824633
42,3.34591897568168
37,9.39897089279084
45,8.15353207833153
7,6.54476698842095
12,8.34186491579269
12,6.56701284444239
29,4.05288130085407
43,9.02122158148573
15,6.54878435985259
48,9.21598292512157
25,7.81585454928069
10,3.76985393827285
31,5.06178461468145
5,5.17311474723446
19,3.66055399180931
43,0.854615640523841
16,9.06803717286468
44,2.6365963026701
31,1.25020621990218
21,1.4370547032596
10,0.561780122516619
23,7.92484170138442
20,8.76566851868554
39,9.21537289464458
42,9.01367117366261
26,5.45005223630096
30,2.28682299922404
20,6.39438247172967
8,9.82042274228323
22,9.51698019354533
12,1.57374107487571
6,8.84236954770954
2,0.98848064368933
22,0.952386253515708
5,0.137884869365774
30,1.82247090530967
36,0.274494657061993
48,3.22472187312824
2,0.242396880878524
50,2.76006119078887
27,6.92424317893483
16,8.56957117537909
44,1.29231927701869
14,5.95977402140715
11,2.47997668665988
29,1.94130193679691
47,8.51844431409606
45,3.73624426031835
9,6.89922644499806
41,5.80871971200189
46,9.68565381143734
24,4.50349341974537
44,3.81163902646775
5,7.85764417064932
43,3.495106260471
19,4.27060955656956
49,8.64057681565512
5,6.44840305571072
39,0.649879987615992
31,3.3593592894349
